window_id,trial_id,session_id,label,instruction,window_start,window_end,sample_count,valid_ratio,is_usable,gaze_x_mean,gaze_x_std,gaze_y_mean,gaze_y_std,pupil_left_mean,pupil_left_std,pupil_right_mean,pupil_right_std,pupil_mean_mean,pupil_mean_std,blink_rate,fixation_rate,saccade_rate,gaze_velocity_mean,gaze_velocity_std,missing_ratio,participant_id
W000001,T001,S001,1,lie,0.0,1.45,88,0.9318,True,0.509648,0.083225,0.504682,0.077993,3.290568,0.183101,3.311932,0.212618,3.30125,0.136159,0.0,0.75,0.25,8.590376,4.77519,0.0682,P001
W000002,T002,S001,1,lie,0.0,2.033,123,0.9106,True,0.501683,0.090722,0.50013,0.073431,3.291138,0.198606,3.286341,0.165147,3.28874,0.137115,0.02439,0.650407,0.325203,8.79155,4.716689,0.0894,P001
W000003,T003,S001,0,truth,0.0,1.25,76,0.8816,True,0.498671,0.084699,0.488355,0.079536,3.327368,0.180514,3.300132,0.164904,3.31375,0.127873,0.052632,0.75,0.197368,8.765687,4.239104,0.1184,P001
W000004,T004,S001,0,truth,0.0,1.867,113,0.9469,True,0.514487,0.082303,0.499053,0.076909,3.276106,0.16598,3.296814,0.196317,3.28646,0.126196,0.00885,0.734513,0.256637,8.743568,4.694514,0.0531,P001
W000005,T005,S001,1,lie,0.0,1.583,96,0.9375,True,0.501271,0.076429,0.497625,0.082008,3.284687,0.1612,3.31,0.18242,3.297344,0.117993,0.010417,0.739583,0.25,8.371175,4.595779,0.0625,P001
W000006,T006,S001,1,lie,0.0,2.167,131,0.9389,True,0.501061,0.067674,0.498779,0.083401,3.282672,0.182246,3.317634,0.203289,3.300153,0.13761,0.038168,0.725191,0.236641,8.250099,4.135763,0.0611,P001
W000007,T007,S001,0,truth,0.0,1.567,95,0.8842,True,0.504621,0.086986,0.495968,0.077829,3.288947,0.184074,3.298211,0.176957,3.293579,0.126808,0.031579,0.663158,0.305263,8.922505,4.968066,0.1158,P001
W000008,T008,S001,0,truth,0.0,1.333,81,0.9506,True,0.505605,0.087609,0.505716,0.084635,3.301728,0.162904,3.298765,0.189921,3.300247,0.13019,0.012346,0.716049,0.271605,9.497663,5.159767,0.0494,P001
W000009,T009,S002,1,lie,0.0,0.883,54,0.8889,True,0.508537,0.076369,0.4845,0.080588,3.302222,0.193158,3.285926,0.201646,3.294074,0.13689,0.037037,0.833333,0.12963,8.400213,4.764825,0.1111,P001
W000010,T010,S002,0,truth,0.0,0.85,52,0.9615,True,0.511019,0.074107,0.511404,0.090117,3.336731,0.212926,3.305962,0.147247,3.321346,0.127811,0.038462,0.788462,0.173077,8.751541,5.05548,0.0385,P001
W000011,T011,S002,0,truth,0.0,1.15,70,0.9714,True,0.502271,0.080824,0.5053,0.076776,3.334714,0.173574,3.301143,0.183868,3.317929,0.123507,0.0,0.785714,0.214286,8.396993,4.498467,0.0286,P001
W000012,T012,S002,1,lie,0.0,0.883,54,0.963,True,0.505074,0.068777,0.484907,0.077718,3.327222,0.15861,3.317037,0.177875,3.32213,0.137748,0.037037,0.740741,0.222222,7.640611,4.135747,0.037,P001
W000013,T013,S002,1,lie,0.0,1.067,65,0.9231,True,0.491877,0.074081,0.496954,0.079225,3.294154,0.187632,3.336615,0.191418,3.315385,0.139252,0.030769,0.815385,0.153846,7.833798,4.69703,0.0769,P001
W000014,T014,S002,1,lie,0.0,1.583,96,0.9375,True,0.499469,0.092323,0.494865,0.085273,3.322708,0.177667,3.334896,0.173325,3.328802,0.127115,0.020833,0.677083,0.302083,9.386391,4.779972,0.0625,P001
W000015,T015,S002,0,truth,0.0,0.9,55,0.9273,True,0.484782,0.076064,0.504236,0.071569,3.321273,0.170252,3.318364,0.146781,3.319818,0.115797,0.036364,0.654545,0.309091,7.747604,4.050873,0.0727,P001
W000016,T016,S002,0,truth,0.0,2.25,136,0.9338,True,0.499691,0.079762,0.496213,0.07024,3.299044,0.185662,3.346691,0.167209,3.322868,0.128937,0.036765,0.705882,0.257353,8.246642,3.855227,0.0662,P001
W000017,T017,S003,0,truth,0.0,2.6,157,0.9427,True,0.504248,0.07527,0.493732,0.083644,3.300828,0.179284,3.314841,0.168052,3.307834,0.11906,0.025478,0.764331,0.210191,8.23878,4.742801,0.0573,P001
W000018,T018,S003,1,lie,0.0,2.3,139,0.9353,True,0.515108,0.082258,0.503137,0.081755,3.315252,0.162633,3.29518,0.172803,3.305216,0.116748,0.043165,0.748201,0.208633,8.908894,4.819455,0.0647,P001
W000019,T019,S003,1,lie,0.0,1.833,111,0.9189,True,0.497495,0.097706,0.518099,0.074826,3.328018,0.169093,3.322432,0.176901,3.325225,0.124717,0.036036,0.684685,0.279279,9.41998,4.135661,0.0811,P001
W000020,T020,S003,0,truth,0.0,1.733,105,0.9333,True,0.494295,0.079309,0.493914,0.081071,3.318381,0.194281,3.290381,0.170355,3.304381,0.120178,0.028571,0.733333,0.238095,8.388543,4.209663,0.0667,P001
W000021,T021,S003,0,truth,0.0,1.833,111,0.955,True,0.49945,0.064297,0.505279,0.075496,3.338108,0.153044,3.295045,0.185613,3.316577,0.128486,0.036036,0.693694,0.27027,7.020355,4.020582,0.045,P001
W000022,T022,S003,1,lie,0.0,3.0,181,0.9337,True,0.490464,0.081417,0.500464,0.079377,3.29779,0.198777,3.316906,0.175953,3.307348,0.129027,0.044199,0.718232,0.237569,8.42096,4.279557,0.0663,P001
W000023,T023,S003,0,truth,0.0,1.617,98,0.9694,True,0.500296,0.090354,0.516469,0.077855,3.305714,0.164968,3.293163,0.1901,3.299439,0.117818,0.010204,0.683673,0.306122,8.669081,5.249649,0.0306,P001
W000024,T024,S003,1,lie,0.0,2.067,125,0.976,True,0.506432,0.093763,0.50904,0.075218,3.2924,0.193764,3.28648,0.181135,3.28944,0.131765,0.008,0.704,0.288,9.133988,5.355712,0.024,P001
